deviceName,deviceStatus,serialNo,Clients,model,firmwareVersion,upTime,deviceType,managed,macAddress,ipAddress
201,connected,5B441151A125D,11,WAC510,9.9.3.2,04 Days 17 Hrs 37 Mins,AP,Yes,94-A6-7E-67-EA-2F,172.20.6.12
101,connected,5B44115DA11EA,10,WAC510,9.9.5.1,01 Days 04 Hrs 10 Mins,AP,Yes,94-A6-7E-67-DB-CF,172.20.6.131
202,connected,5B44115YA11B2,1,WAC510,9.9.3.2,04 Days 17 Hrs 43 Mins,AP,Yes,94-A6-7E-67-D4-CF,172.20.2.187
304,connected,5B441158A11E5,1,WAC510,9.9.3.2,00 Days 23 Hrs 58 Mins,AP,Yes,94-A6-7E-67-DB-2F,172.20.6.161
301,connected,5B44115BA11F6,0,WAC510,9.9.3.2,04 Days 17 Hrs 45 Mins,AP,Yes,94-A6-7E-67-DD-4F,172.20.6.159
305,connected,5B441150A125C,2,WAC510,9.9.3.2,00 Days 23 Hrs 45 Mins,AP,Yes,94-A6-7E-67-EA-0F,172.20.6.163
206,connected,5B44115UA1257,1,WAC510,9.9.3.2,00 Days 23 Hrs 58 Mins,AP,Yes,94-A6-7E-67-E9-6F,172.20.6.119
405,connected,5B44115KA11FE,0,WAC510,9.9.3.2,00 Days 23 Hrs 59 Mins,AP,Yes,94-A6-7E-67-DE-4F,172.20.6.115
404,connected,5B44115NA120C,0,WAC510,9.9.3.2,00 Days 23 Hrs 58 Mins,AP,Yes,94-A6-7E-67-E0-0F,172.20.6.112
302,connected,5B44115AA1200,0,WAC510,9.9.3.2,04 Days 17 Hrs 41 Mins,AP,Yes,94-A6-7E-67-DE-8F,172.20.6.109
102,disconnected,5B44115CA11F7,0,WAC510,9.9.3.2,05 Days 14 Hrs 26 Mins,AP,Yes,94-A6-7E-67-DD-6F,172.20.6.148
Degree,disconnected,6AC8252N02089,0,WAX610,10.7.5.3,01 Days 09 Hrs 13 Mins,AP,Yes,80-CC-9C-D0-D1-5F,172.20.9.135
Degreeclassroom,connected,6AC82C290029B,1,WAX610,10.7.5.3,02 Days 03 Hrs 30 Mins,AP,Yes,E0-46-EE-76-00-5F,172.20.9.133
